Date,Description,Amount,Type,Category
2024-01-15,Grocery Shopping,125.50,expense,Food & Dining
2024-01-16,Gas Station,45.00,expense,Transportation
2024-01-17,Salary Payment,2500.00,income,Salary
2024-01-18,Netflix Subscription,15.99,expense,Entertainment
2024-01-19,Restaurant Dinner,85.00,expense,Food & Dining
2024-01-20,Amazon Purchase,67.50,expense,Shopping
2024-01-21,Freelance Project,500.00,income,Freelance
2024-01-22,Utility Bill,120.00,expense,Utilities
2024-01-23,Gym Membership,50.00,expense,Health & Fitness
2024-01-24,Coffee Shop,4.50,expense,Food & Dining
2024-01-25,Phone Bill,80.00,expense,Utilities
2024-01-26,Book Purchase,25.00,expense,Education
2024-01-27,Investment Dividend,150.00,income,Investment
2024-01-28,Car Insurance,200.00,expense,Insurance
2024-01-29,Home Depot,45.75,expense,Home & Garden
2024-01-30,Online Course,199.00,expense,Education
